system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
740,2.141215106732348,766.0,21.67127825000003,-0.11990077,0.472635,-0.4523682,2031.5,727.5,1596.5,2024,60.97436263524609,25.652246337552853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.652246337552853,60.97436263524609]}"
741,1.6086406076910902,582.0,22.34975522000002,-0.17663725,0.60398096,-0.6452842,2699.5,666.5,1889.0,2024,60.97436263524609,25.663295615547522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.663295615547522,60.97436263524609]}"
742,0.9875578529783013,745.0,23.09659259,-0.14157745,0.4586823,-0.55621743,2612.5,969.5,1964.5,2024,60.97436263524609,25.66410409930323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.66410409930323,60.97436263524609]}"
743,1.8825030721240195,1017.0,28.39965061999999,-0.2081039,0.5209941,-0.48165137,2907.0,915.5,1905.5,2024,60.97436263524609,25.668146518081766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.668146518081766,60.97436263524609]}"
744,-0.5906976744186047,847.5,36.28844078000003,0.12969966,0.06943685,-0.07148726,978.0,851.0,1269.5,2024,60.97436263524609,25.669763485593183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.669763485593183,60.97436263524609]}"
745,-0.30303030303030304,786.5,36.28844078000003,0.16177203,0.043370508,-0.034080442,842.0,772.0,1167.0,2024,60.97436263524609,25.67003298017842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.67003298017842,60.97436263524609]}"
746,1.1370716510903427,661.0,34.05989174000001,0.25177547,0.07187398,-0.105245344,816.5,707.0,1366.0,2024,60.97436263524609,25.674075398956955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.674075398956955,60.97436263524609]}"
747,1.8743243243243244,1070.5,30.554712230000035,-0.008367607,0.2423554,-0.24824437,1777.5,1084.0,1748.0,2024,60.97436263524609,25.675961861053608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.675961861053608,60.97436263524609]}"
748,3.132992327365729,1104.0,28.74999767,0.067029975,0.050092004,-0.07537688,1284.0,1161.5,1468.5,2024,60.97436263524609,25.67703983939455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.67703983939455,60.97436263524609]}"
749,1.0499688667496887,1255.5,27.63743216000003,0.015991343,0.19736649,-0.23943663,2046.0,1371.5,2112.5,2024,60.97436263524609,25.678117817735494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.678117817735494,60.97436263524609]}"
750,1.576141898722544,809.5,27.63743216000003,-0.06967554,0.5002917,-0.5211476,2571.5,856.5,2236.5,2024,60.97436263524609,25.67838731232073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.67838731232073,60.97436263524609]}"
